,Time,X,Y,Theta,sigma,icrx,icry
17,0.5619732,0.253611425769278,0.3385198418536227,8.419611428619309,0.5746332266522333,0.2474192680296705,0.3141721439084119
18,0.5931939,0.25220315066813787,0.33873304523721964,8.484853581388109,0.5927381170025052,0.24795397796492408,0.3148887709751352
19,0.6244146,0.25075354296922897,0.33883560132401624,8.545268502511744,0.6053791856990333,0.24818553221273912,0.31527261033860715
20,0.6556353,0.24932928772833154,0.3390007294348413,8.605080237845888,0.6163814843184575,0.24818564620390382,0.31537155923425375
21,0.6868561,0.24805310163050143,0.3388815863675371,8.659804512943396,0.6123095398808328,0.2479890969456856,0.3151414354435294
22,0.7180768,0.24658178251808266,0.33889958930979536,8.718648637740234,0.6114413417213695,0.2478850957886887,0.3150560492974116
23,0.7492975,0.24524342895672432,0.3388299374770137,8.77744267158754,0.599944044762643,0.24768025456781495,0.3146251541201548
24,0.7805183,0.24394721711413517,0.338551195292387,8.824792930595372,0.5848267903517811,0.24752641387771804,0.3141799284138701
25,0.811739,0.2425184442809857,0.33851795390462186,8.887192814677299,0.5672349282791024,0.24735411574353455,0.31363365895950396
26,0.8429597,0.24114037636385932,0.3382837133750154,8.941407453633223,0.5512511338768693,0.24730441425849653,0.31285326038824224
27,0.8741805,0.23984193943851911,0.3379106411670958,8.98989793624138,0.5355264766864415,0.24738573780954484,0.3120041516228251
28,0.9054012,0.2385923194802011,0.3375080360426628,9.037343315693445,0.5234741016298722,0.24750747044515337,0.3112617843164921
29,0.9366219,0.23724337991908795,0.3369819051121737,9.090387536852983,0.5136366520895631,0.2478117801533974,0.31052055646144255
30,0.9678426,0.23607103101630506,0.33636508520289327,9.137876898602197,0.4999460790838262,0.24814644984841036,0.3099618726840331
31,0.9990634,0.23479626088022562,0.335737409586858,9.187544082192051,0.4879907748918208,0.24857130175295197,0.3095548966898469
32,1.030284,0.23362721588819424,0.33505943361529983,9.23139355978623,0.4773749460028832,0.24893810641328065,0.30888848385942297
33,1.061505,0.23248359078092443,0.3344633137182788,9.267197593127493,0.46557857558179694,0.24914178266492298,0.30833735394615314
34,1.092726,0.23135068652690946,0.33377953904621804,9.309072056140117,0.4537212952341253,0.24949164137108212,0.3073780780131544
35,1.123946,0.23026808262841736,0.3329767561603531,9.348009479087484,0.4419209786581606,0.24930913607472688,0.30674619867195413
36,1.155167,0.22908514772587965,0.3321708716439868,9.39332101899606,0.43352429886825783,0.2493553196354253,0.3061810951744536
37,1.186388,0.22820792570798093,0.3312716010788281,9.443044576720752,0.4279966238824868,0.24957665102647925,0.30533787795345796
38,1.217608,0.22721513424052966,0.33025318744636517,9.482277134844633,0.423223282464642,0.24983839500482458,0.3046628723045681
39,1.248829,0.22610684075027587,0.32933982469045,9.526527863633845,0.42524629046326057,0.2500059561130011,0.3042907888936308
40,1.28005,0.22503448571778845,0.32840940296677706,9.562096452059015,0.42106795424581,0.2500966947965879,0.3040952923000032
41,1.311271,0.2239563994115484,0.3274465489763394,9.594467073695752,0.41341918665203364,0.2502270714585138,0.3038855701370635
42,1.342491,0.22316818070369013,0.32655779698418547,9.634142421850862,0.4111879793862339,0.2506926076628107,0.30351762873569693
43,1.373712,0.22230255608679667,0.3254513914429325,9.664800875491396,0.4026806142456926,0.25112544442062457,0.30298678926582884
44,1.404933,0.22153786931469904,0.32432833149442203,9.715467783676791,0.388313566922602,0.2518860482344619,0.3019589256762979
45,1.436154,0.22079206203261006,0.3231048056883659,9.744990027974275,0.3684298370834848,0.25265166146704315,0.30088637589114375
46,1.467374,0.21988672305994858,0.3220163356626211,9.77914437610655,0.35002671132573576,0.2528416243778235,0.30010776969010033
47,1.498595,0.21937239181071477,0.32081270074782403,9.82151747968647,0.3352402923932833,0.253585261415197,0.2988420143648528
48,1.529816,0.21856178742184632,0.319554180458502,9.864250121092299,0.3317595522053449,0.25421975220036624,0.2974992780142412
49,1.561037,0.21785454824077483,0.318392619835724,9.894957443951888,0.3391816785788759,0.25419578780699104,0.2967016221987287
50,1.592257,0.21713679048669857,0.31705521024886607,9.924432564359568,0.35716754868439604,0.2533318839607257,0.2970605728189407
51,1.623478,0.21641175064361903,0.31586438641657477,9.952951244337156,0.3846081613614167,0.25161885704024844,0.2981505739425212
