   time(s)     rx(cm)     ry(cm)   phi(rad)    rcx(cm)    rcy(cm)        eta          w
   8.79000   32.15533   32.23447    0.99913   27.27505    0.27275    0.26359   -0.65065
   8.82000   32.25267   32.27636    0.97953   27.30530    0.27305    0.26495   -0.65628
   8.85000   32.35119   32.31671    0.95967   27.36665    0.27367    0.26805   -0.66785
   8.88000   32.45108   32.35548    0.93942   27.44088    0.27441    0.27195   -0.68228
   8.91000   32.55236   32.39262    0.91874   27.50981    0.27510    0.27564   -0.69617
   8.94000   32.65495   32.42803    0.89770   27.55894    0.27559    0.27824   -0.70646
   8.97000   32.75862   32.46164    0.87644   27.57886    0.27579    0.27915   -0.71093
   9.00000   32.86307   32.49339    0.85515   27.56535    0.27565    0.27811   -0.70861
   9.03000   32.96799   32.52325    0.83402   27.51915    0.27519    0.27525   -0.69989
   9.06000   33.07309   32.55124    0.81322   27.44598    0.27446    0.27099   -0.68643
   9.09000   33.17818   32.57740    0.79287   27.35657    0.27357    0.26605   -0.67073
   9.12000   33.28319   32.60178    0.77297   27.26590    0.27266    0.26126   -0.65567
   9.15000   33.38815   32.62443    0.75348   27.19090    0.27191    0.25743   -0.64393
   9.18000   33.49321   32.64538    0.73426   27.14626    0.27146    0.25517   -0.63745
   9.21000   33.59859   32.66463    0.71514   27.13967    0.27140    0.25473   -0.63705
   9.24000   33.70450   32.68215    0.69595   27.16881    0.27169    0.25599   -0.64227
   9.27000   33.81113   32.69790    0.67654   27.22203    0.27222    0.25842   -0.65143
   9.30000   33.91855   32.71180    0.65684   27.28196    0.27282    0.26122   -0.66195
   9.33000   34.02674   32.72382    0.63685   27.33009    0.27330    0.26350   -0.67080
   9.36000   34.13553   32.73392    0.61666   27.34990    0.27350    0.26441   -0.67504
   9.39000   34.24464   32.74213    0.59645   27.32828    0.27328    0.26330   -0.67231
   9.42000   34.35373   32.74850    0.57645   27.25563    0.27256    0.25975   -0.66131
   9.45000   34.46240   32.75317    0.55690   27.12556    0.27126    0.25369   -0.64192
   9.48000   34.57031   32.75628    0.53804   26.93505    0.26935    0.24535   -0.61523
   9.51000   34.67717   32.75801    0.52007   26.68523    0.26685    0.23523   -0.58331
   9.54000   34.78279   32.75854    0.50308   26.38286    0.26383    0.22407   -0.54882
   9.57000   34.88710   32.75802    0.48713   26.04162    0.26042    0.21269   -0.51451
   9.60000   34.99017   32.75655    0.47217   25.68190    0.25682    0.20190   -0.48275
   9.63000   35.09210   32.75421    0.45811   25.32760    0.25328    0.19229   -0.45515
   9.66000   35.19307   32.75103    0.44479   24.99940    0.24999    0.18418   -0.43234
   9.69000   35.29326   32.74704    0.43210   24.70702    0.24707    0.17751   -0.41395
   9.72000   35.39282   32.74223    0.41991   24.44448    0.24444    0.17193   -0.39878
   9.75000   35.49183   32.73663    0.40815   24.19095    0.24191    0.16686   -0.38519
   9.78000   35.59031   32.73026    0.39680   23.91651    0.23917    0.16171   -0.37147
   9.81000   35.68824   32.72320    0.38588   23.58986    0.23590    0.15597   -0.35632
   9.84000   35.78553   32.71551    0.37545   23.18582    0.23186    0.14941   -0.33915
   9.87000   35.88212   32.70728    0.36556   22.69326    0.22693    0.14211   -0.32028
